Major Category,Number of Items,Total Score,Total Time Taken,Average CRI,CRI Criteria
1,9,5,1022,2.9,Misconception
1,9,6,981,3.6,Misconception
1,9,7,521,1.9,Does not understand
2,9,3,296,1.6,Does not understand
4,9,7,326,2.4,Does not understand
1,9,5,473,3.8,Misconception
5,9,5,336,2.3,Does not understand
5,9,5,441,2.6,Misconception
9,9,0,244,2.7,Misconception
5,9,6,541,1.2,Does not understand
9,9,9,507,1.0,Does not understand
5,9,4,367,2.0,Does not understand
8,9,1,255,2.8,Misconception
9,9,4,399,2.3,Does not understand
3,9,7,928,2.9,Understand
2,9,6,569,2.1,Does not understand
7,9,6,516,1.1,Does not understand
5,9,5,784,0.6,Does not understand
1,9,3,433,2.1,Does not understand
1,9,3,223,1.1,Does not understand
9,9,5,144,0.4,Does not understand
9,9,9,182,3.1,Understand
3,9,6,402,3.3,Misconception
3,9,9,352,2.7,Understand
1,9,5,471,4.0,Misconception
2,9,2,183,2.6,Misconception
3,9,7,685,1.2,Does not understand
6,9,7,320,2.2,Does not understand
3,9,5,248,2.9,Misconception
4,9,2,90,2.2,Does not understand
4,9,6,341,2.0,Does not understand
7,9,4,281,0.9,Does not understand
9,9,5,246,2.2,Does not understand
1,9,7,526,2.1,Does not understand
2,9,4,209,2.2,Does not understand
1,9,7,993,2.9,Understand
4,9,8,325,3.1,Understand
8,9,4,206,0.0,Does not understand
4,9,7,545,3.0,Understand
1,9,5,460,3.2,Misconception
5,9,3,799,2.1,Does not understand
7,9,5,204,0.8,Does not understand
9,9,9,381,4.4,Understand
4,9,5,217,1.9,Does not understand
3,9,6,344,2.4,Does not understand
9,9,4,446,0.0,Does not understand
4,9,4,394,2.4,Does not understand
4,9,3,299,1.3,Does not understand
6,9,7,485,3.3,Understand
3,9,4,829,2.4,Does not understand
5,9,6,220,4.0,Misconception
4,9,6,282,2.3,Does not understand
8,9,2,215,1.4,Does not understand
3,9,9,646,2.4,Does not understand
7,9,7,209,2.3,Does not understand
3,9,4,311,1.7,Does not understand
2,9,8,308,2.8,Understand
1,9,1,272,2.0,Does not understand
9,9,4,249,0.7,Does not understand
1,9,5,403,2.0,Does not understand
8,9,7,240,2.1,Does not understand
5,9,7,446,2.9,Understand
1,9,4,580,1.8,Does not understand
3,9,5,506,1.2,Does not understand
6,9,5,264,1.8,Does not understand
8,9,9,35,4.2,Understand
3,9,7,266,2.7,Understand
9,9,3,209,0.0,Does not understand
7,9,7,417,1.8,Does not understand
5,9,5,282,0.0,Does not understand
7,9,9,470,2.6,Understand
8,9,2,237,0.3,Does not understand
8,9,4,622,0.9,Does not understand
2,9,5,165,4.2,Misconception
4,9,6,623,3.0,Misconception
8,9,3,208,0.7,Does not understand
2,9,3,157,2.2,Does not understand
3,9,7,309,2.2,Does not understand
4,9,4,332,2.3,Does not understand
4,9,8,318,3.3,Understand
4,9,4,761,3.8,Misconception
6,9,6,308,3.3,Misconception
5,9,5,473,3.1,Misconception
1,9,4,713,3.0,Misconception
6,9,6,563,3.6,Misconception
7,9,4,476,0.8,Does not understand
1,9,7,409,2.7,Understand
8,9,1,199,2.7,Misconception
8,9,4,163,2.0,Does not understand
6,9,4,214,2.4,Does not understand
1,9,4,795,2.4,Does not understand
4,9,8,297,4.7,Understand
6,9,6,308,1.2,Does not understand
7,9,2,282,1.1,Does not understand
7,9,6,198,1.2,Does not understand
9,9,5,223,1.8,Does not understand
5,9,2,373,0.4,Does not understand
4,9,5,320,1.1,Does not understand
8,9,7,212,3.9,Understand
4,9,6,408,2.3,Does not understand
7,9,5,703,1.0,Does not understand
5,9,5,394,3.4,Misconception
7,9,4,388,0.8,Does not understand
1,9,4,630,1.7,Does not understand
3,9,5,326,3.7,Misconception
1,9,7,705,2.9,Understand
1,9,5,341,2.1,Does not understand
2,9,4,335,2.9,Misconception
9,9,3,231,1.7,Does not understand
7,9,8,347,2.9,Understand
6,9,3,344,0.8,Does not understand
4,9,4,300,1.9,Does not understand
6,9,5,195,3.7,Misconception
7,9,2,908,1.7,Does not understand
2,9,4,174,1.1,Does not understand
8,9,3,191,2.4,Does not understand
6,9,5,134,1.6,Does not understand
2,9,1,70,2.0,Does not understand
3,9,3,248,3.0,Misconception
9,9,1,251,3.6,Misconception
9,9,3,769,2.4,Does not understand
9,9,6,232,1.9,Does not understand
2,9,8,172,1.8,Does not understand
5,9,9,504,2.2,Does not understand
8,9,4,296,2.2,Does not understand
7,9,6,224,1.2,Does not understand
5,9,5,424,1.1,Does not understand
1,9,6,1021,2.6,Misconception
3,9,5,216,1.3,Does not understand
8,9,3,178,2.4,Does not understand
2,9,2,284,0.9,Does not understand
2,9,8,354,2.0,Does not understand
9,9,3,581,1.0,Does not understand
1,9,2,638,3.7,Misconception
2,9,5,181,0.3,Does not understand
5,9,2,67,2.4,Does not understand
8,9,9,287,4.0,Understand
1,9,6,766,2.9,Misconception
1,9,7,758,3.3,Understand
3,9,9,382,4.2,Understand
1,9,4,142,2.3,Does not understand
3,9,3,233,0.7,Does not understand
4,9,5,204,2.3,Does not understand
4,9,4,330,2.1,Does not understand
6,9,4,280,3.9,Misconception
6,9,8,355,2.6,Understand
9,9,1,605,1.4,Does not understand
6,9,3,928,2.1,Does not understand
1,9,3,533,3.8,Misconception
5,9,5,271,1.7,Does not understand
5,9,5,436,1.4,Does not understand
1,9,7,669,2.8,Understand
4,9,7,893,2.3,Does not understand
8,9,3,167,0.7,Does not understand
5,9,3,537,1.7,Does not understand
1,9,5,224,2.9,Misconception
1,9,7,399,4.1,Understand
8,9,7,556,3.4,Understand
7,9,4,292,1.1,Does not understand
3,9,7,782,2.2,Does not understand
6,9,3,866,1.1,Does not understand
6,9,2,447,1.4,Does not understand
3,9,6,168,2.2,Does not understand
2,9,5,198,2.2,Does not understand
5,9,5,159,1.6,Does not understand
4,9,2,200,3.6,Misconception
5,9,3,907,0.7,Does not understand
5,9,4,785,0.9,Does not understand
8,9,5,126,2.0,Does not understand
3,9,5,542,2.0,Does not understand
3,9,7,326,4.3,Understand
5,9,4,237,2.1,Does not understand
3,9,8,527,2.0,Does not understand
9,9,1,147,0.0,Does not understand
5,9,2,853,2.0,Does not understand
5,9,6,231,2.8,Misconception
8,9,5,308,2.6,Misconception
7,9,4,429,0.6,Does not understand
5,9,3,695,1.4,Does not understand
3,9,7,574,0.3,Does not understand
4,9,8,260,2.4,Does not understand
8,9,9,922,2.3,Does not understand
6,9,4,806,2.8,Misconception
1,9,7,898,2.0,Does not understand
2,9,7,78,2.6,Understand
3,9,6,141,2.2,Does not understand
3,9,6,302,3.7,Misconception
4,9,8,220,3.3,Understand
1,9,2,724,2.0,Does not understand
1,9,4,521,2.6,Misconception
4,9,4,207,1.3,Does not understand
4,9,3,117,2.6,Misconception
7,9,4,102,0.7,Does not understand
1,9,7,755,4.2,Understand
3,9,5,782,4.2,Misconception
7,9,5,362,1.0,Does not understand
2,9,7,120,3.2,Understand
1,9,5,828,1.7,Does not understand
3,9,6,210,2.9,Misconception
1,9,5,411,2.2,Does not understand
3,9,1,51,2.0,Does not understand
6,9,6,378,0.3,Does not understand
8,9,5,167,2.3,Does not understand
7,9,8,270,1.5,Does not understand
7,9,6,358,1.1,Does not understand
5,9,1,1019,1.7,Does not understand
7,9,2,338,1.1,Does not understand
4,9,6,654,2.9,Misconception
9,9,5,132,2.0,Does not understand
5,9,8,287,3.3,Understand
5,9,5,359,0.3,Does not understand
4,9,8,156,3.9,Understand
6,9,5,10,3.1,Misconception
8,9,7,169,2.6,Understand
8,9,3,414,2.0,Does not understand
4,9,1,95,2.1,Does not understand
9,9,6,444,1.6,Does not understand
4,9,4,306,1.8,Does not understand
8,9,0,245,0.9,Does not understand
7,9,3,442,1.4,Does not understand
8,9,8,117,3.6,Understand
3,9,5,172,1.6,Does not understand
6,9,7,283,3.6,Understand
3,9,9,175,2.4,Does not understand
9,9,3,24,0.0,Does not understand
3,9,9,411,3.7,Understand
2,9,7,323,1.4,Does not understand
1,9,5,722,3.2,Misconception
5,9,9,147,3.6,Understand
3,9,3,398,2.0,Does not understand
6,9,0,93,2.1,Does not understand
